,medical_abstracts,problems_described
9340,"['edgar', 'j', 'poth', 'lectur', 'pathogenesi', 'diagnosi', 'thrombosi', 'thrombosi', 'major', 'sequela', 'embol', 'continu', 'contribut', 'signific', 'morbid', 'mortal', 'primari', 'disord', 'complic', 'system', 'system', 'understand', 'etiolog', 'thromboembol', 'role', 'platelet', 'endothelium', 'plasma', 'protein', 'develop', 'thrombot', 'disord', 'recent', 'improv', 'blood', 'cell', 'particular', 'neutrophil', 'suggest', 'possibl', 'mediat', 'thrombosi', 'clinic', 'disord', 'character', 'decreas', 'capillari', 'blood', 'flow', 'newer', 'imag', 'techniqu', 'duplex', 'scan', 'improv', 'accuraci', 'eas', 'diagnosi', 'thrombolyt', 'therapi', 'physiolog', 'approach', 'manag', 'thrombosi', 'role', 'limit', 'system', 'fibrinolysi', 'develop', 'fibrinspecif', 'agent', 'better', 'deliveri', 'techniqu', 'combin', 'thromboembolectomi', 'anticoagul', 'improv', 'manag', 'thrombosi', 'edgar', 'j', 'poth', 'lecture', 'pathogenesis', 'diagnosis', 'thrombosis', 'thrombosis', 'major', 'sequela', 'embolism', 'continue', 'contribute', 'significantly', 'morbidity', 'mortality', 'primary', 'disorder', 'complications', 'systemic', 'systems', 'understand', 'etiology', 'thromboembolism', 'role', 'platelets', 'endothelium', 'plasma', 'proteins', 'development', 'thrombotic', 'disorder', 'recently', 'improve', 'blood', 'cells', 'particular', 'neutrophils', 'suggest', 'possible', 'mediators', 'thrombosis', 'clinical', 'disorder', 'characterize', 'decrease', 'capillary', 'blood', 'flow', 'newer', 'image', 'techniques', 'duplex', 'scan', 'improve', 'accuracy', 'ease', 'diagnosis', 'thrombolytic', 'therapy', 'physiologic', 'approach', 'management', 'thrombosis', 'role', 'limit', 'systemic', 'fibrinolysis', 'development', 'fibrinspecific', 'agents', 'better', 'delivery', 'techniques', 'combination', 'thromboembolectomy', 'anticoagulation', 'improve', 'management', 'thrombosis']",4
4365,"['indic', 'comput', 'tomographi', 'blunt', 'abdomin', 'trauma', 'investig', 'undertaken', 'identifi', 'clinic', 'variabl', 'alon', 'combin', 'could', 'use', 'assign', 'high', 'lowrisk', 'categori', 'intraabdomin', 'injuri', 'follow', 'blunt', 'trauma', 'six', 'hundr', 'consecut', 'examin', 'comput', 'tomographi', 'ct', 'follow', 'blunt', 'trauma', 'enrol', 'complet', 'data', 'set', 'avail', 'stepwis', 'logist', 'regress', 'use', 'identifi', 'predictor', 'variabl', 'presenc', 'abdomin', 'injuri', 'abdomin', 'injuri', 'detect', 'ct', 'classifi', 'signific', 'injuri', 'indic', 'signific', 'higher', 'risk', 'abdomin', 'injuri', 'includ', 'follow', 'clinic', 'indic', 'given', 'odd', 'likelihood', 'ratio', 'olr', 'confid', 'interv', 'cl', 'less', 'gross', 'hematuria', 'olr', 'cl', 'less', 'lap', 'belt', 'injuri', 'olr', 'cl', 'less', 'assault', 'abus', 'mechan', 'injuri', 'olr', 'cl', 'less', 'abdomin', 'tender', 'olr', 'cl', 'less', 'trauma', 'score', 'less', 'equal', 'olr', 'cl', 'less', 'child', 'asymptomat', 'hematuria', 'regardless', 'grade', 'neurolog', 'impair', 'absenc', 'abdomin', 'find', 'abnorm', 'ct', 'examin', 'data', 'use', 'adjunct', 'clinic', 'judgment', 'triag', 'avail', 'ct', 'equip', 'limit', 'compet', 'extraabdomin', 'injuri', 'indications', 'compute', 'tomography', 'blunt', 'abdominal', 'trauma', 'investigation', 'undertake', 'identify', 'clinical', 'variables', 'alone', 'combination', 'could', 'use', 'assign', 'high', 'lowrisk', 'categories', 'intraabdominal', 'injury', 'follow', 'blunt', 'trauma', 'six', 'hundred', 'consecutive', 'examine', 'compute', 'tomography', 'ct', 'follow', 'blunt', 'trauma', 'enrol', 'complete', 'data', 'set', 'available', 'stepwise', 'logistic', 'regression', 'use', 'identify', 'predictor', 'variables', 'presence', 'abdominal', 'injury', 'abdominal', 'injury', 'detect', 'ct', 'classify', 'significant', 'injury', 'indicators', 'significantly', 'higher', 'risk', 'abdominal', 'injury', 'include', 'follow', 'clinical', 'indications', 'give', 'odds', 'likelihood', 'ratio', 'olr', 'confidence', 'interval', 'cl', 'less', 'gross', 'hematuria', 'olr', 'cl', 'less', 'lap', 'belt', 'injury', 'olr', 'cl', 'less', 'assault', 'abuse', 'mechanism', 'injury', 'olr', 'cl', 'less', 'abdominal', 'tenderness', 'olr', 'cl', 'less', 'trauma', 'score', 'less', 'equal', 'olr', 'cl', 'less', 'child', 'asymptomatic', 'hematuria', 'regardless', 'grade', 'neurologic', 'impairment', 'absence', 'abdominal', 'find', 'abnormal', 'ct', 'examination', 'data', 'useful', 'adjunct', 'clinical', 'judgment', 'triage', 'availability', 'ct', 'equipment', 'limit', 'compete', 'extraabdominal', 'injuries']",5
10040,"['interact', 'substanc', 'calcitonin', 'generel', 'peptid', 'taurin', 'excitatori', 'amino', 'acid', 'spinal', 'cord', 'use', 'vivo', 'microdialysi', 'dorsal', 'spinal', 'cord', 'previous', 'observ', 'increas', 'glutam', 'aspart', 'exposur', 'noxious', 'stimulus', 'present', 'investig', 'design', 'determin', 'whether', 'increas', 'mediat', 'substanc', 'infus', 'mm', 'substanc', 'dialysi', 'fluid', 'increas', 'concentr', 'glutam', 'aspart', 'similar', 'respons', 'seen', 'noxious', 'stimul', 'addit', 'substanc', 'also', 'increas', 'concentr', 'inhibitori', 'amino', 'acid', 'glycin', 'taurin', 'calcitonin', 'generel', 'peptid', 'previous', 'shown', 'enhanc', 'substanc', 'pinduc', 'bite', 'scratch', 'behavior', 'produc', 'amino', 'acid', 'releas', 'potenti', 'appar', 'releas', 'taurin', 'substanc', 'assess', 'import', 'substanc', 'pinduc', 'amino', 'acid', 'releas', 'sensori', 'process', 'examin', 'influenc', 'taurin', 'excitatori', 'amino', 'acid', 'antagonist', 'bite', 'scratch', 'behavior', 'produc', 'excitatori', 'amino', 'acid', 'substanc', 'taurin', 'select', 'inhibit', 'substanc', 'pinduc', 'bite', 'scratch', 'excitatori', 'amino', 'acid', 'antagonist', 'inhibit', 'excitatori', 'amino', 'acidinduc', 'behavior', 'explor', 'abil', 'taurin', 'inhibit', 'substanc', 'pinduc', 'behavior', 'test', 'nocicept', 'use', 'pretreat', 'taurin', 'inhibit', 'nociceptiverel', 'writh', 'behavior', 'produc', 'intraperiton', 'inject', 'acet', 'acid', 'mice', 'fail', 'alter', 'latenc', 'respons', 'hot', 'plate', 'tail', 'flick', 'assay', 'interactions', 'substance', 'calcitonin', 'generelated', 'peptide', 'taurine', 'excitatory', 'amino', 'acids', 'spinal', 'cord', 'use', 'vivo', 'microdialysis', 'dorsal', 'spinal', 'cord', 'previously', 'observe', 'increase', 'glutamate', 'aspartate', 'exposure', 'noxious', 'stimulus', 'present', 'investigation', 'design', 'determine', 'whether', 'increase', 'mediate', 'substance', 'infusion', 'mm', 'substance', 'dialysis', 'fluid', 'increase', 'concentrations', 'glutamate', 'aspartate', 'similar', 'response', 'see', 'noxious', 'stimulation', 'addition', 'substance', 'also', 'increase', 'concentrations', 'inhibitory', 'amino', 'acids', 'glycine', 'taurine', 'calcitonin', 'generelated', 'peptide', 'previously', 'show', 'enhance', 'substance', 'pinduced', 'bite', 'scratch', 'behavior', 'produce', 'amino', 'acid', 'release', 'potentiate', 'apparent', 'release', 'taurine', 'substance', 'assess', 'importance', 'substance', 'pinduced', 'amino', 'acid', 'release', 'sensory', 'process', 'examine', 'influence', 'taurine', 'excitatory', 'amino', 'acid', 'antagonists', 'bite', 'scratch', 'behavior', 'produce', 'excitatory', 'amino', 'acids', 'substance', 'taurine', 'selectively', 'inhibit', 'substance', 'pinduced', 'bite', 'scratch', 'excitatory', 'amino', 'acid', 'antagonists', 'inhibit', 'excitatory', 'amino', 'acidinduced', 'behavior', 'explore', 'ability', 'taurine', 'inhibit', 'substance', 'pinduced', 'behavior', 'test', 'nociception', 'use', 'pretreatment', 'taurine', 'inhibit', 'nociceptiverelated', 'writhe', 'behavior', 'produce', 'intraperitoneal', 'injection', 'acetic', 'acid', 'mice', 'fail', 'alter', 'latency', 'response', 'hot', 'plate', 'tail', 'flick', 'assay']",3
5070,"['sequenc', 'parkinson', 'abnorm', 'program', 'control', 'movement', 'central', 'program', 'deficit', 'parkinson', 'pd', 'reaction', 'time', 'rt', 'experi', 'experi', 'pd', 'control', 'perform', 'sequenc', 'hand', 'postur', 'vari', 'length', 'number', 'differ', 'postur', 'repetit', 'vs', 'heterogen', 'delay', 'interv', 'movement', 'movement', 'pd', 'plan', 'repetit', 'movement', 'like', 'control', 'wherea', 'heterogen', 'sequenc', 'rt', 'increas', 'less', 'sequenc', 'length', 'pd', 'impli', 'less', 'preprogram', 'interrespons', 'time', 'irt', 'data', 'repetit', 'sequenc', 'show', 'pd', 'difficulti', 'control', 'movement', 'irt', 'faster', 'sequenc', 'longer', 'thus', 'allow', 'time', 'schedul', 'termin', 'sequenc', 'cours', 'movement', 'heterogen', 'sequenc', 'pd', 'made', 'error', 'slower', 'control', 'chang', 'hand', 'postur', 'suggest', 'deficit', 'switch', 'differ', 'respons', 'rt', 'decreas', 'longer', 'delay', 'similar', 'group', 'irt1', 'continu', 'improv', 'pd', 'similar', 'type', 'sequenc', 'suggest', 'deficit', 'specif', 'program', 'respons', 'experi', 'subject', 'made', 'decis', 'number', 'differ', 'hand', 'postur', 'contain', 'within', 'sequenc', 'pd', 'decis', 'time', 'improv', 'longer', 'delay', 'heterogen', 'sequenc', 'suggest', 'problem', 'identifi', 'number', 'differ', 'hand', 'postur', 'result', 'implic', 'level', 'motor', 'dysfunct', 'pd', 'emphas', 'influenc', 'sequenc', 'length', 'complex', 'sequence', 'parkinson', 'abnormalities', 'program', 'control', 'movement', 'central', 'program', 'deficits', 'parkinson', 'pd', 'reaction', 'time', 'rt', 'experiment', 'experiment', 'pd', 'control', 'perform', 'sequence', 'hand', 'posture', 'vary', 'length', 'number', 'different', 'posture', 'repetitive', 'vs', 'heterogeneous', 'delay', 'interval', 'movement', 'movement', 'pd', 'plan', 'repetitive', 'movements', 'like', 'control', 'whereas', 'heterogeneous', 'sequence', 'rt', 'increase', 'less', 'sequence', 'length', 'pd', 'imply', 'less', 'preprogramming', 'interresponse', 'time', 'irt', 'data', 'repetitive', 'sequence', 'show', 'pd', 'difficulty', 'control', 'movement', 'irts', 'faster', 'sequence', 'longer', 'thus', 'allow', 'time', 'schedule', 'termination', 'sequence', 'course', 'movement', 'heterogeneous', 'sequence', 'pd', 'make', 'errors', 'slower', 'control', 'change', 'hand', 'posture', 'suggest', 'deficit', 'switch', 'different', 'responses', 'rt', 'decrease', 'longer', 'delay', 'similarly', 'group', 'irt1', 'continue', 'improve', 'pd', 'similarly', 'type', 'sequence', 'suggest', 'deficit', 'specific', 'program', 'response', 'experiment', 'subject', 'make', 'decisions', 'number', 'different', 'hand', 'posture', 'contain', 'within', 'sequence', 'pd', 'decision', 'time', 'improve', 'longer', 'delay', 'heterogeneous', 'sequence', 'suggest', 'problem', 'identify', 'number', 'different', 'hand', 'posture', 'result', 'implications', 'level', 'motor', 'dysfunction', 'pd', 'emphasize', 'influence', 'sequence', 'length', 'complexity']",3
3608,"['orocaec', 'transit', 'time', 'duchenn', 'muscular', 'dystrophi', 'smooth', 'muscl', 'degener', 'occur', 'duchenn', 'muscular', 'dystrophi', 'measur', 'fast', 'orocaec', 'transit', 'time', 'advanc', 'duchenn', 'muscular', 'dystrophi', 'muscular', 'dystrophi', 'healthi', 'control', 'signific', 'differ', 'contrast', 'report', 'gastric', 'hypomotil', 'duchenn', 'muscular', 'dystrophi', 'evid', 'impair', 'small', 'intestin', 'motil', 'orocaecal', 'transit', 'time', 'duchenne', 'muscular', 'dystrophy', 'smooth', 'muscle', 'degeneration', 'occur', 'duchenne', 'muscular', 'dystrophy', 'measure', 'fast', 'orocaecal', 'transit', 'time', 'advance', 'duchenne', 'muscular', 'dystrophy', 'muscular', 'dystrophies', 'healthy', 'control', 'significant', 'differences', 'contrast', 'report', 'gastric', 'hypomotility', 'duchenne', 'muscular', 'dystrophy', 'evidence', 'impair', 'small', 'intestinal', 'motility']",3
3085,"['histolog', 'len', 'weillmarchesani', 'syndrom', 'weillmarchesani', 'syndrom', 'rare', 'system', 'connect', 'tissu', 'characteris', 'small', 'statur', 'brachydactyli', 'ectopia', 'lenti', 'spherophakia', 'sibl', 'typic', 'manifest', 'syndrom', 'report', 'ophthalmolog', 'find', 'spherophakia', 'sever', 'myopia', 'shallow', 'anterior', 'chamber', 'narrow', 'angl', 'glaucoma', 'underw', 'laser', 'iridotomi', 'drug', 'third', 'len', 'remov', 'eye', 'injuri', 'len', 'examin', 'light', 'electron', 'microscopi', 'histology', 'lens', 'weillmarchesani', 'syndrome', 'weillmarchesani', 'syndrome', 'rare', 'systemic', 'connective', 'tissue', 'characterise', 'small', 'stature', 'brachydactyly', 'ectopia', 'lentis', 'spherophakia', 'siblings', 'typical', 'manifestations', 'syndrome', 'report', 'ophthalmological', 'find', 'spherophakia', 'severe', 'myopia', 'shallow', 'anterior', 'chamber', 'narrow', 'angle', 'glaucoma', 'undergo', 'laser', 'iridotomy', 'drug', 'third', 'lens', 'remove', 'eye', 'injury', 'lens', 'examine', 'light', 'electron', 'microscopy']",5
6046,"['allpolyethylen', 'cementless', 'tibial', 'compon', 'five', 'nineyear', 'followup', 'allpolyethylen', 'cementless', 'tibial', 'compon', 'use', 'total', 'knee', 'arthroplasti', 'except', 'failur', 'occur', 'failur', 'character', 'medial', 'subsid', 'tibial', 'compon', 'abras', 'polyethylen', 'undersurfac', 'compon', 'fail', 'survivorship', 'seven', 'nine', 'demonstr', 'flexibl', 'cementless', 'compon', 'function', 'well', 'use', 'type', 'bone', 'howev', 'abras', 'polyethylen', 'occur', 'shear', 'forc', 'concern', 'polyethylen', 'compon', 'need', 'adequ', 'provis', 'prevent', 'shear', 'need', 'surfac', 'prevent', 'abras', 'allpolyethylene', 'cementless', 'tibial', 'component', 'five', 'nineyear', 'followup', 'allpolyethylene', 'cementless', 'tibial', 'component', 'use', 'total', 'knee', 'arthroplasties', 'exception', 'failures', 'occur', 'failure', 'characterize', 'medial', 'subsidence', 'tibial', 'component', 'abrasion', 'polyethylene', 'undersurface', 'components', 'fail', 'survivorship', 'seven', 'nine', 'demonstrate', 'flexible', 'cementless', 'component', 'function', 'well', 'use', 'type', 'bone', 'however', 'abrasion', 'polyethylene', 'occur', 'shear', 'force', 'concern', 'polyethylene', 'components', 'need', 'adequate', 'provision', 'prevent', 'shear', 'need', 'surface', 'prevent', 'abrasion']",5
4362,"['immunopatholog', 'viral', 'reactiv', 'general', 'theori', 'schizophrenia', 'theori', 'propos', 'explain', 'broad', 'rang', 'clinic', 'manifest', 'schizophrenia', 'heurist', 'devic', 'organ', 'research', 'neuroimmunolog', 'virolog', 'schizophrenia', 'approach', 'differ', 'immun', 'viral', 'theori', 'schizophrenia', 'defin', 'testabl', 'hypothes', 'theori', 'refin', 'reject', 'defect', 'alphainterferon', 'aifn', 'regul', 'result', 'excess', 'postul', 'caus', 'schizophrenia', 'role', 'aifn', 'regul', 'develop', 'induct', 'within', 'brain', 'reactiv', 'virus', 'common', 'present', 'central', 'nervous', 'system', 'cns', 'primari', 'pathophysiolog', 'mechan', 'biolog', 'properti', 'aifn', 'includ', 'neural', 'excit', 'opiat', 'adrenocorticotrop', 'hormon', 'activ', 'inhibit', 'cellular', 'prolifer', 'differenti', 'psychosi', 'result', 'situ', 'viral', 'stimul', 'aifn', 'product', 'cns', 'vulner', 'host', 'defect', 'regul', 'either', 'sensit', 'product', 'negat', 'symptom', 'aifn', 'effect', 'cns', 'develop', 'behavior', 'toxic', 'aifn', 'biolog', 'development', 'abnorm', 'gender', 'differ', 'sever', 'declin', 'psychot', 'symptom', 'discuss', 'context', 'theori', 'research', 'strategi', 'specif', 'testabl', 'hypothes', 'present', 'immunopathology', 'viral', 'reactivation', 'general', 'theory', 'schizophrenia', 'theory', 'propose', 'explain', 'broad', 'range', 'clinical', 'manifestations', 'schizophrenia', 'heuristic', 'device', 'organize', 'research', 'neuroimmunology', 'virology', 'schizophrenia', 'approach', 'different', 'immune', 'viral', 'theories', 'schizophrenia', 'define', 'testable', 'hypotheses', 'theory', 'refinement', 'rejection', 'defective', 'alphainterferon', 'aifn', 'regulation', 'result', 'excessive', 'postulate', 'cause', 'schizophrenia', 'role', 'aifn', 'regulation', 'development', 'induction', 'within', 'brain', 'reactivation', 'viruses', 'commonly', 'present', 'central', 'nervous', 'system', 'cns', 'primary', 'pathophysiological', 'mechanisms', 'biological', 'properties', 'aifn', 'include', 'neural', 'excitation', 'opiate', 'adrenocorticotropic', 'hormone', 'activity', 'inhibition', 'cellular', 'proliferation', 'differentiation', 'psychosis', 'result', 'situ', 'viral', 'stimulation', 'aifn', 'production', 'cns', 'vulnerable', 'host', 'defective', 'regulation', 'either', 'sensitivity', 'production', 'negative', 'symptoms', 'aifn', 'effect', 'cns', 'development', 'behavioral', 'toxicity', 'aifn', 'biological', 'developmental', 'abnormalities', 'gender', 'differences', 'severity', 'decline', 'psychotic', 'symptoms', 'discuss', 'context', 'theory', 'research', 'strategies', 'specific', 'testable', 'hypotheses', 'present']",3
348,"['chimney', 'sweep', 'oncogen', 'quest', 'caus', 'cancer', 'past', 'bewild', 'array', 'chemic', 'physic', 'viral', 'agent', 'identifi', 'caus', 'cancer', 'mechan', 'involv', 'becom', 'clear', 'leukemia', 'lymphoma', 'appear', 'activ', 'cellular', 'oncogen', 'import', 'gene', 'involv', 'present', 'cell', 'often', 'cell', 'growth', 'regul', 'activ', 'act', 'domin', 'fashion', 'caus', 'cell', 'express', 'malign', 'phenotyp', 'increas', 'evid', 'solid', 'tumor', 'import', 'mechan', 'loss', 'suppressor', 'gene', 'classic', 'exampl', 'retinoblastoma', 'retinoblastoma', 'gene', 'clone', 'also', 'sever', 'common', 'cancer', 'includ', 'sarcoma', 'small', 'cell', 'lung', 'cancer', 'like', 'famili', 'gene', 'well', 'activ', 'oncogen', 'loss', 'suppressor', 'gene', 'requir', 'tumor', 'progress', 'initi', 'promot', 'metastas', 'malign', 'chimney', 'sweep', 'oncogenes', 'quest', 'cause', 'cancer', 'past', 'bewilder', 'array', 'chemical', 'physical', 'viral', 'agents', 'identify', 'cause', 'cancer', 'mechanisms', 'involve', 'become', 'clear', 'leukemias', 'lymphomas', 'appear', 'activation', 'cellular', 'oncogenes', 'important', 'genes', 'involve', 'present', 'cells', 'often', 'cell', 'growth', 'regulation', 'activate', 'act', 'dominant', 'fashion', 'cause', 'cell', 'express', 'malignant', 'phenotype', 'increase', 'evidence', 'solid', 'tumors', 'important', 'mechanism', 'loss', 'suppressor', 'gene', 'classic', 'example', 'retinoblastoma', 'retinoblastoma', 'gene', 'clone', 'also', 'several', 'common', 'cancers', 'include', 'sarcomas', 'small', 'cell', 'lung', 'cancer', 'likely', 'family', 'genes', 'well', 'activation', 'oncogenes', 'loss', 'suppressor', 'genes', 'require', 'tumor', 'progress', 'initiation', 'promotion', 'metastasize', 'malignancy']",5
10254,"['cyclophosphamid', 'ifosfamid', 'combin', 'neoadjuv', 'chemotherapi', 'local', 'advanc', 'nonsmallcel', 'lung', 'cancer', 'metaanalyt', 'review', 'twentythre', 'margin', 'resect', 'unresect', 'nonsmallcel', 'lung', 'cancer', 'stage', 'iiia', 'iiib', 'treat', 'neoadjuv', 'chemotherapi', 'receiv', 'cycl', 'preoper', 'chemotherapi', 'alkyl', 'agent', 'cyclophosphamid', 'gm2', 'intraven', 'iv', 'ifosfamid', 'gm2', 'iv', 'mesna', 'gm2', 'given', 'addit', 'prevent', 'drug', 'hematuria', 'six', 'partial', 'respons', 'seven', 'underw', 'thoracotomi', 'complet', 'resect', 'macroscop', 'residu', 'mean', 'time', 'progress', 'whole', 'month', 'fifteen', 'progress', 'local', 'metastas', 'six', 'distant', 'metastas', 'eight', 'administ', 'chemotherapi', 'cycl', 'cyclophosphamideifosfamid', 'dose', 'cut', 'eight', 'requir', 'hospit', 'fever', 'neutropenia', 'nadir', 'twoalkyl', 'noncisplatin', 'regimen', 'unlik', 'cisplatinbas', 'regimen', 'ineffect', 'trial', 'recommend', 'cyclophosphamide', 'ifosfamide', 'combination', 'neoadjuvant', 'chemotherapy', 'locally', 'advance', 'nonsmallcell', 'lung', 'cancer', 'metaanalytic', 'review', 'twentythree', 'marginally', 'resectable', 'unresectable', 'nonsmallcell', 'lung', 'cancer', 'stag', 'iiia', 'iiib', 'treat', 'neoadjuvant', 'chemotherapy', 'receive', 'cycle', 'preoperative', 'chemotherapy', 'alkylating', 'agents', 'cyclophosphamide', 'gm2', 'intravenously', 'iv', 'ifosfamide', 'gm2', 'iv', 'mesna', 'gm2', 'give', 'additionally', 'prevent', 'drug', 'hematuria', 'six', 'partial', 'response', 'seven', 'undergo', 'thoracotomy', 'completely', 'resect', 'macroscopic', 'residual', 'mean', 'time', 'progression', 'whole', 'months', 'fifteen', 'progression', 'local', 'metastases', 'six', 'distant', 'metastases', 'eight', 'administer', 'chemotherapy', 'cycle', 'cyclophosphamideifosfamide', 'dose', 'cut', 'eight', 'require', 'hospitalization', 'fever', 'neutropenia', 'nadirs', 'twoalkylating', 'noncisplatin', 'regimen', 'unlike', 'cisplatinbased', 'regimens', 'ineffective', 'trials', 'recommend']",1
1042,"['singl', 'cholesterol', 'measur', 'underestim', 'risk', 'coronari', 'heart', 'empir', 'exampl', 'lipid', 'research', 'clinic', 'mortal', 'followup', 'prospect', 'epidemiolog', 'studi', 'coronari', 'heart', 'singl', 'measur', 'cholesterol', 'made', 'assess', 'relationship', 'risk', 'coronari', 'statist', 'theori', 'state', 'measur', 'subject', 'withinindividu', 'variabl', 'strength', 'relationship', 'underestim', 'empir', 'shown', 'exampl', 'plasma', 'cholesterol', 'lipid', 'research', 'clinic', 'followup', 'popul', 'compris', 'white', 'men', 'ageadjust', 'coronari', 'heart', 'mortal', 'regress', 'coeffici', 'increas', '453', '496', 'averag', 'cholesterol', 'measur', 'use', 'instead', 'singl', 'measur', 'sinc', 'correl', 'repeat', 'cholesterol', 'measur', '815', 'increas', 'regress', 'coeffici', '556', 'would', 'expect', 'true', 'cholesterol', 'valu', 'avail', 'thus', 'epidemiolog', 'studi', 'substanti', 'underestim', 'strength', 'relationship', 'cholesterol', 'level', 'risk', 'coronari', 'calcul', 'relationship', 'basi', 'singl', 'cholesterol', 'determin', 'single', 'cholesterol', 'measurement', 'underestimate', 'risk', 'coronary', 'heart', 'empirical', 'example', 'lipid', 'research', 'clinics', 'mortality', 'followup', 'prospective', 'epidemiologic', 'study', 'coronary', 'heart', 'single', 'measurement', 'cholesterol', 'make', 'assess', 'relationship', 'risk', 'coronary', 'statistical', 'theory', 'state', 'measurement', 'subject', 'withinindividual', 'variability', 'strength', 'relationship', 'underestimate', 'empirically', 'show', 'example', 'plasma', 'cholesterol', 'lipid', 'research', 'clinics', 'followup', 'population', 'comprise', 'white', 'men', 'ageadjusted', 'coronary', 'heart', 'mortality', 'regression', 'coefficient', 'increase', '453', '496', 'average', 'cholesterol', 'measurements', 'use', 'instead', 'single', 'measurement', 'since', 'correlation', 'repeat', 'cholesterol', 'measurements', '815', 'increase', 'regression', 'coefficient', '556', 'would', 'expect', 'true', 'cholesterol', 'value', 'available', 'thus', 'epidemiologic', 'study', 'substantially', 'underestimate', 'strength', 'relationship', 'cholesterol', 'level', 'risk', 'coronary', 'calculate', 'relationship', 'basis', 'single', 'cholesterol', 'determination']",4
537,"['gadoliniumenhanc', 'magnet', 'reson', 'imag', 'bell', 'palsi', 'inflamm', 'facial', 'nerv', 'bell', 'palsi', 'demonstr', 'gadoliniumenhanc', 'magnet', 'reson', 'imag', 'seri', 'bell', 'palsi', 'gadoliniumenhanc', 'magnet', 'reson', 'imag', 'purpos', 'paper', 'report', 'find', 'discuss', 'signific', 'acut', 'bell', 'palsi', 'demonstr', 'facial', 'nerv', 'enhanc', 'usual', 'distal', 'intern', 'auditori', 'canal', 'labyrinthinegenicul', 'segment', 'segment', 'demonstr', 'enhanc', 'less', 'often', 'gadolinium', 'enhanc', 'occur', 'regardless', 'sever', 'paralysi', 'persist', 'clinic', 'improv', 'paralysi', 'find', 'corrobor', 'evid', 'segment', 'facial', 'nerv', 'often', 'involv', 'bell', 'palsi', 'segment', 'often', 'enhanc', 'gadoliniumenhanc', 'magnet', 'reson', 'imag', 'role', 'gadoliniumenhanc', 'magnet', 'reson', 'imag', 'manag', 'bell', 'palsi', 'discuss', 'gadoliniumenhanced', 'magnetic', 'resonance', 'image', 'bell', 'palsy', 'inflammation', 'facial', 'nerve', 'bell', 'palsy', 'demonstrate', 'gadoliniumenhanced', 'magnetic', 'resonance', 'image', 'series', 'bell', 'palsy', 'gadoliniumenhanced', 'magnetic', 'resonance', 'image', 'purpose', 'paper', 'report', 'find', 'discuss', 'significance', 'acute', 'bell', 'palsy', 'demonstrate', 'facial', 'nerve', 'enhancement', 'usually', 'distal', 'internal', 'auditory', 'canal', 'labyrinthinegeniculate', 'segment', 'segment', 'demonstrate', 'enhancement', 'less', 'often', 'gadolinium', 'enhancement', 'occur', 'regardless', 'severity', 'paralysis', 'persist', 'clinical', 'improvement', 'paralysis', 'find', 'corroborate', 'evidence', 'segment', 'facial', 'nerve', 'often', 'involve', 'bell', 'palsy', 'segment', 'often', 'enhance', 'gadoliniumenhanced', 'magnetic', 'resonance', 'image', 'role', 'gadoliniumenhanced', 'magnetic', 'resonance', 'image', 'management', 'bell', 'palsy', 'discuss']",5
8466,"['imag', 'techniqu', 'diagnosi', 'carcinoma', 'colon', 'variabl', 'publish', 'result', 'colonoscopi', 'barium', 'enema', 'examin', 'confus', 'optimum', 'result', 'depend', 'meticul', 'prepar', 'technic', 'excel', 'oper', 'profici', 'mistak', 'place', 'colonoscopi', 'barium', 'enema', 'competit', 'posit', 'method', 'ideal', 'complement', 'anoth', 'evalu', 'high', 'risk', 'individu', 'includ', 'posit', 'hemoccult', 'test', 'exclus', 'signific', 'patholog', 'doublecontrast', 'enema', 'reli', 'less', 'cost', 'detect', 'abnorm', 'barium', 'enema', 'necessari', 'follow', 'colonoscop', 'verif', 'andor', 'biopsi', 'use', 'sequenc', 'procedur', 'provid', 'costeffect', 'approach', 'earli', 'detect', 'control', 'cancer', 'estim', 'observ', 'ac', 'guidelin', 'reduc', 'mortal', 'rate', 'image', 'techniques', 'diagnosis', 'carcinoma', 'colon', 'variability', 'publish', 'result', 'colonoscopy', 'barium', 'enema', 'examinations', 'confuse', 'optimum', 'result', 'dependent', 'meticulous', 'preparation', 'technical', 'excellence', 'operator', 'proficiency', 'mistake', 'place', 'colonoscopy', 'barium', 'enema', 'competitive', 'position', 'methods', 'ideally', 'complement', 'another', 'evaluation', 'high', 'risk', 'individuals', 'include', 'positive', 'hemoccult', 'test', 'exclusion', 'significant', 'pathology', 'doublecontrast', 'enema', 'rely', 'less', 'costly', 'detection', 'abnormalities', 'barium', 'enema', 'necessary', 'follow', 'colonoscopic', 'verification', 'andor', 'biopsy', 'use', 'sequence', 'procedures', 'provide', 'costeffective', 'approach', 'early', 'detection', 'control', 'cancer', 'estimate', 'observance', 'acs', 'guidelines', 'reduce', 'mortality', 'rat']",1
